HET,count
GSN,307
BNZ,306
SLX,306
SHG,306
CRB,306
YOJ,306
QQJ,306
FYJ,306
OFU,305
KDG,305
YFV,304
CRM,304
QWG,304
LWR,304
DFT,304
CBE,304
NME,302
BTK,302
TWT,302
CAG,301
LTX,301
QSE,301
ERM,301
PDQ,300
MYV,300
CZA,300
AMI,300
RXP,300
VOR,300
EIW,300
ZJU,300
CDN,300
NLX,300
KTM,300
NTD,299
PNN,299
BUA,299
RXT,299
BIG,299
TYY,299
UFR,299
SUS,299
ELY,298
USM,298
BYZ,297
LMP,297
SRL,297
NSS,297
EZL,297
OED,297
IDP,297
CDM,297
CIE,297
MWY,297
CXF,297
IDQ,297
UOO,296
GVX,296
XOI,296
MXN,296
OTA,296
UOB,296
SOP,296
PEM,295
TKY,294
TSY,293
KNA,293
GJV,293
LAP,293
ANN,292
UOZ,292
IMC,292
JMF,290
GGS,290
FUN,289
OBF,289
PLO,289
TIZ,289
WME,288
DIU,288
CFY,288
YYY,288
HWV,288
ZFC,288
COZ,288
VSE,288
WIU,288
XNP,288
LEC,288
FMG,288
DOL,288
OSD,288
JJP,288
FII,288
TQQ,288
JFR,287
ETM,287
ZLY,287
CED,286
XFK,286
GEC,286
OES,286
TDS,286
AWD,286
ISN,285
OCY,285
UKA,285
PMY,285
ZOF,284
ONL,284
PHU,284
BDR,284
MVI,282
NBB,282
KLN,282
PRE,281
ONS,280
JFL,280
CXR,280
CCX,280
CZC,280
GLO,280
XYG,280
AKN,280
EIF,280
IIR,280
XHN,280
MRC,280
CON,280
SRG,280
OKN,280
XXR,279
DZM,279
GHJ,279
BBI,279
KMK,279
MAW,279
YTA,279
SFH,279
XUL,279
JOV,279
DAG,278
MXM,276
REQ,276
PCI,276
DLZ,276
GXB,276
TSS,276
ANB,276
PIS,276
YWI,276
IWL,276
XEB,276
GVW,276
OXT,276
LBW,276
CPZ,276
HQO,275
KNI,275
BVP,275
ACK,275
DXX,275
PIM,275
OKR,275
UUI,275
NYM,273
GFN,273
DAF,273
TBA,273
FSI,273
KZH,273
BPI,273
MGL,273
OMX,273
XPW,272
PXL,272
ANU,272
PUY,272
TAK,272
GAV,272
VDN,272
DJR,271
HIR,270
AXQ,270
FKZ,270
JRR,270
BFZ,270
ZPC,270
ZIZ,270
DNA,270
JGR,270
THD,270
FMX,268
DVC,268
FUQ,268
QCG,268
OBT,268
XBJ,268
AXL,268
MBR,268
OOG,267
ZGS,267
CPI,267
RJQ,267
LIZ,266
BFQ,266
TLM,266
GDR,266
KSY,265
NFU,265
QKF,265
IXP,264
GBL,264
RWZ,264
LHH,264
PRT,264
GVE,264
ARI,264
LQJ,264
UFB,264
SYN,264
WYQ,264
GJY,264
FXS,264
TVJ,264
PSZ,264
HCI,263
TCK,263
TTC,263
TYZ,263
YDL,263
HGB,263
CNH,262
QJB,262
FWD,262
MOS,262
TDM,261
GOK,261
YWJ,261
PLA,261
HLU,261
DAP,261
XCO,260
NMK,260
HHK,260
XRX,260
PDN,260
PTQ,260
XYU,260
UUL,260
PVE,260
RUS,260
DES,260
XCU,260
TCA,259
YPP,259
STD,258
SPK,258
NUP,258
BUF,258
CSL,257
MRS,256
USN,256
DZF,256
PXD,256
MGC,256
PXP,256
MGO,256
HDV,256
TNF,256
TOD,256
RMN,256
DVP,256
RPI,255
CNI,255
SLA,255
YBT,255
CHS,254
FTY,254
EHL,254
GBS,254
FAW,254
BIO,253
FTG,253
FMP,253
ZXM,253
OUS,252
XVZ,252
OMD,252
DNQ,252
BZJ,252
FZZ,252
URM,252
NMD,252
IBG,252
TEO,252
YHF,252
LUX,252
TKT,252
VCG,252
IOP,252
VRD,252
DUO,252
JNT,252
STM,252
OTI,252
UPU,251
BTX,251
LOB,250
TDX,250
PPE,250
XZF,250
PDG,250
OUI,250
DXP,249
FPF,249
ISC,248
SIM,248
LAN,248
RFC,248
SFC,248
APK,248
ROV,248
YLH,248
ZAN,248
DHK,248
DQV,247
TPT,247
OMR,247
AMQ,247
DHL,247
MRR,247
ACM,246
XBQ,246
WPI,246
MZM,246
TND,246
HHR,245
YNM,245
QYV,245
KUW,245
JHZ,245
KSA,245
NNA,245
RDZ,244
AFN,244
RMP,244
WZQ,244
IMO,243
YOO,243
SIT,243
HVS,243
HSK,242
BRN,242
HXD,242
VXS,241
COC,241
DQA,241
LFW,240
QWT,240
LXY,240
FID,240
QEE,240
UYD,240
KMA,240
GRB,240
OSG,240
FCU,240
DZN,240
LND,240
GHE,240
OSM,240
